"","VI used","cover used","VI","cover","A-horizon","R2","AIC","deltaAIC"
"51","GNDVIt","ground","0.19, p < 0.0001","0.39, p < 0.0001","-","0.402",633.26,0
"52","GNDVIt","ground","0.19, p < 0.0001","0.39, p < 0.0001","0.04, p = 0.3769","0.404",634.47,1.21000000000004
"42","NDVIt","ground","0.16, p = 0.0011","0.42, p < 0.0001","0.07, p = 0.1480","0.390",640.89,7.63
"41","NDVIt","ground","0.15, p = 0.0025","0.43, p < 0.0001","-","0.386",641.02,7.75999999999999
"61","GDVI2t","ground","0.13, p = 0.0092","0.44, p < 0.0001","-","0.381",643.41,10.15
"62","GDVI2t","ground","0.14, p = 0.0051","0.43, p < 0.0001","0.06, p = 0.2080","0.384",643.8,10.54
"22","GNDVI","ground","0.11, p = 0.0462","0.43, p < 0.0001","-","0.375",646.25,12.99
"23","GNDVI","ground","0.11, p = 0.0498","0.43, p < 0.0001","0.03, p = 0.5254","0.376",647.84,14.58
"11","-","ground","-","0.50, p < 0.0001","-","0.366",648.28,15.02
"13","NDVI","ground","0.06, p = 0.3139","0.47, p < 0.0001","-","0.369",649.25,15.99
"31","GDVI2","ground","0.00, p = 0.9511","0.50, p < 0.0001","-","0.366",650.27,17.01
"14","NDVI","ground","0.06, p = 0.2892","0.46, p < 0.0001","0.04, p = 0.4277","0.370",650.61,17.35
"32","GDVI2","ground","0.00, p = 0.9444","0.50, p < 0.0001","0.03, p = 0.4718","0.367",651.75,18.49
"5","GNDVIt","-","0.42, p < 0.0001","-","-","0.264",703.06,69.8
"2","GNDVI","-","0.41, p < 0.0001","-","-","0.249",709.09,75.83
"21","-","drone","-","0.39, p < 0.0001","-","0.215",722.47,89.21
"1","NDVI","-","0.38, p < 0.0001","-","-","0.203",727.02,93.76
"4","NDVIt","-","0.39, p < 0.0001","-","-","0.197",729.22,95.96
"6","GDVI2t","-","0.38, p < 0.0001","-","-","0.192",731.07,97.8100000000001
"3","GDVI2","-","0.34, p < 0.0001","-","-","0.171",738.78,105.52
"12","-","-","-","-","0.05, p = 0.4154","0.002",793.93,160.67
