"","VI used","VI","volume","R2","AIC","deltaAIC"
"21","GNDVI","0.43, p < 0.0001","0.40, p < 0.0001","0.535",280.64,0
"51","NIR","0.44, p < 0.0001","0.35, p = 1e-04","0.527",282.75,2.11000000000001
"12","NDVI","0.40, p < 0.0001","0.44, p < 0.0001","0.527",282.82,2.18000000000001
"31","GDVI2","0.37, p < 0.0001","0.49, p < 0.0001","0.522",284.03,3.38999999999999
"71","REG","0.40, p < 0.0001","0.40, p < 0.0001","0.521",284.34,3.69999999999999
"5","NIR","0.69, p < 0.0001","-","0.465",297.04,16.4
"41","RED","-0.23, p = 0.0023","0.59, p < 0.0001","0.470",297.74,17.1
"2","GNDVI","0.69, p < 0.0001","-","0.436",304.09,23.45
"11","-","-","0.66, p < 0.0001","0.430",305.29,24.65
"7","REG","0.66, p < 0.0001","-","0.428",305.82,25.18
"61","GRE","0.00, p = 0.9544","0.66, p < 0.0001","0.430",307.29,26.65
"1","NDVI","0.66, p < 0.0001","-","0.393",313.66,33.02
"3","GDVI2","0.63, p < 0.0001","-","0.343",324.13,43.49
"4","RED","-0.44, p < 0.0001","-","0.167",355.42,74.78
"6","GRE","0.02, p = 0.8641","-","0.000",379.57,98.93
