"","response","predictor 1: VI","predictor 2: cover","predictor 3: A-horizon","R2","AIC"
"1","biomass","NDVI,  1648.30 ,  0.0238",NA,NA,"0.116","604.66"
"2","biomass","GDVI2,  2672.39 ,  0.0741",NA,NA,"0.074","606.70"
"3","biomass","GNDVI,  3336.31 ,  0.0061",NA,NA,"0.166","602.11"
"4","biomass","NDVIt,  5200.58 ,  0.0014",NA,NA,"0.217","599.32"
"5","biomass","GDVI2t,  15294.41 ,  0.0020",NA,NA,"0.205","599.97"
"6","biomass","GNDVIt,  8622.58 ,  3e-04",NA,NA,"0.276","595.88"
"7","biomass","NDVIt nf,  5147.73 ,  0.0015",NA,NA,"0.217","599.33"
"8","biomass","GDVI2t nf,  14791.66 ,  0.0021",NA,NA,"0.204","600.06"
"9","biomass","GNDVIt nf,  8560.14 ,  2e-04",NA,NA,"0.277","595.81"
"10","biomass","NDVI,  133.14 ,  0.0877","cover,  64.29 ,  0.3478",NA,"0.135","605.70"
"11","biomass","GDVI2,  128.04 ,  0.2255","cover,  79.50 ,  0.2522",NA,"0.103","607.27"
"12","biomass","GNDVI,  188.28 ,  0.0217","cover,  60.73 ,  0.3470",NA,"0.184","603.15"
"13","biomass","NDVIt,  148.56 ,  0.0053","cover,  55.75 ,  0.3686",NA,"0.233","600.44"
"14","biomass","GDVI2t,  149.28 ,  0.0078","cover,  54.09 ,  0.3902",NA,"0.220","601.17"
"15","biomass","GNDVIt,  204.44 ,  5e-04","cover,  78.17 ,  0.1700",NA,"0.309","595.84"
"16","biomass","NDVI,  130.16 ,  0.1026","cover,  65.58 ,  0.3453","Ahor,  -16.78 ,  0.8033","0.136","607.63"
"17","biomass","GDVI2,  125.20 ,  0.2416","cover,  80.59 ,  0.2510","Ahor,  -28.78 ,  0.6715","0.108","609.07"
"18","biomass","GNDVI,  187.39 ,  0.0237","cover,  61.35 ,  0.3470","Ahor,  -30.29 ,  0.6392","0.188","604.90"
"19","biomass","NDVIt,  154.79 ,  0.0063","cover,  53.05 ,  0.4001","Ahor,  24.57 ,  0.7093","0.235","602.28"
"20","biomass","GDVI2t,  153.65 ,  0.0094","cover,  52.16 ,  0.4157","Ahor,  17.67 ,  0.7889","0.221","603.09"
"21","biomass","GNDVIt,  203.46 ,  2e-04","cover,  78.64 ,  2e-04","Ahor,  -24.47 ,  2e-04","0.312","597.65"
